case_number,year,month,day,expected_wa,Washington,diff,US
1,2014,1,4,98.201,90,8.201  38,3786
2,2014,1,11,73.631,78,-4.369,3825
3,2014,1,18,75.367,77,-1.633,3649
4,2014,1,25,97.307,88,9.307,3575
5,2014,2,1,61.246,69,-7.754,3603
6,2014,2,8,66.319,72,-5.681,3622
7,2014,2,15,103.6,92,11.6,3643
8,2014,2,22,90.342,84,6.342,3658
9,2014,3,1,79.48,80,-0.52,3781
10,2014,3,8,79.629,81,-1.371,3729
11,2014,3,15,78.709,80,-1.291,3721
12,2014,3,22,139.835,109,30.835,3599
13,2014,3,29,53.402,63,-9.598,3388
14,2014,4,5,81.142,80,1.142,3667
15,2014,4,12,65.78,76,-10.22,3762
16,2014,4,19,77.225,77,0.225,3638
17,2014,4,26,82.878,81,1.878,3659
18,2014,5,3,113.974,97,16.974,3777
19,2014,5,10,81.445,82,-0.555,3828
20,2014,5,17,119.998,99,20.998,3582
21,2014,5,24,93.563,88,5.563,3682
22,2014,5,31,109.472,96,13.472,3819
23,2014,6,7,94.803,92,2.803,3966
24,2014,6,14,115.385,99,16.385,3771
25,2014,6,21,99.914,93,6.914,3878
26,2014,6,28,77.742,81,-3.258,3889
27,2014,7,5,88.799,90,-1.201,4100
28,2014,7,12,85.13,85,0.13,3881
29,2014,7,19,65.323,73,-7.677,3776
30,2014,7,26,70.763,76,-5.237,3783
31,2014,8,2,69.846,75,-5.154,3722
32,2014,8,9,98.146,91,7.146,3944
33,2014,8,16,87.315,85,2.315,3875
34,2014,8,23,110.943,97,13.943,3880
35,2014,8,30,102.896,95,7.896,3975
36,2014,9,6,69.857,79,-9.143,4079
37,2014,9,13,97.459,91,6.459,3803
38,2014,9,20,77.365,81,-3.635,3866
39,2014,9,27,65.492,74,-8.508,3909
40,2014,10,4,78.727,81,-2.273,3813
41,2014,10,11,106.765,96,10.765,3972
42,2014,10,18,30.397,56,-25.603,3879
43,2014,10,25,66.27,74,-7.73,3817
44,2014,11,1,99.053,91,8.053,3753
45,2014,11,8,101.499,91,10.499,3929
46,2014,11,15,115.468,98,17.468,3780
47,2014,11,22,98.283,92,6.283,3905
48,2014,11,29,70.523,78,-7.477,3888
49,2014,12,6,89.174,88,1.174,3886
50,2014,12,13,73.111,79,-5.889,3893
51,2014,12,20,95.294,89,6.294,3890
52,2014,12,27,79.728,81,-1.272,3808
53,2015,1,3,87.395,87,0.395,4064
54,2015,1,10,107.838,98,9.838,4029
55,2015,1,17,97.71,92,5.71,4007
56,2015,1,24,90.779,88,2.779,3947
57,2015,1,31,49.041,66,-16.959,3786
58,2015,2,7,72.359,80,-7.641,4027
59,2015,2,14,98.148,91,7.148,3860
60,2015,2,21,83.824,83,0.824,3947
61,2015,2,28,92.335,87,5.335,3844
62,2015,3,7,107.419,98,9.419,4042
63,2015,3,14,99.625,94,5.625,4087
64,2015,3,21,44.401,66,-21.599,4042
65,2015,3,28,84.606,84,0.606,3792
66,2015,4,4,97.745,92,5.745,3950
67,2015,4,11,78.779,80,-1.221,3942
68,2015,4,18,82.701,84,-1.299,3953
69,2015,4,25,81.962,83,-1.038,3853
70,2015,5,2,69.686,77,-7.314,3928
71,2015,5,9,103.937,97,6.937,4181
72,2015,5,16,65.307,77,-11.693,4134
73,2015,5,23,85.43,85,0.43,3981
74,2015,5,30,84.636,86,-1.364,3998
75,2015,6,6,99.508,94,5.508,4193
76,2015,6,13,125.476,108,17.476,4178
77,2015,6,20,111.257,100,11.257,4116
78,2015,6,27,104.721,98,6.721,4183
79,2015,7,4,76.82,85,-8.18,4190
80,2015,7,11,103.78,100,3.78,4369
81,2015,7,18,149.228,121,28.228,4221
82,2015,7,25,104.242,96,8.242,4128
83,2015,8,1,103.051,98,5.051,4276
84,2015,8,8,116.129,107,9.129,4304
85,2015,8,15,89.735,90,-0.265,4121
86,2015,8,22,116.207,104,12.207,4205
87,2015,8,29,106.867,99,7.867,4146
88,2015,9,5,76.892,85,-8.108,4329
89,2015,9,12,144.109,119,25.109,4232
90,2015,9,19,115.154,101,14.154,3951
91,2015,9,26,83.998,86,-2.002,4149
92,2015,10,3,84.735,88,-3.265,4035
93,2015,10,10,105.436,101,4.436,4361
94,2015,10,17,101.28,95,6.28,4125
95,2015,10,24,78.993,83,-4.007,4066
96,2015,10,31,51.06,69,-17.94,4015
97,2015,11,7,89.075,90,-0.925,4168
98,2015,11,14,133.208,109,24.208,3941
99,2015,11,21,96.365,90,6.365,4017
100,2015,11,28,68.311,76,-7.689,3897
101,2015,12,5,124.212,108,16.212,4047
102,2015,12,12,105.525,98,7.525,4138
103,2015,12,19,86.607,86,0.607,4022
104,2015,12,26,97.26,92,5.26,3888
105,2016,1,2,83.423,85,-1.577,3957
106,2016,1,9,98.421,93,5.421,4052
107,2016,1,16,55.422,72,-16.578,4083
108,2016,1,23,83.64,84,-0.36,3926
109,2016,1,30,96.255,93,3.255,4116
110,2016,2,6,71.534,80,-8.466,4245
111,2016,2,13,65.018,78,-12.982,4236
112,2016,2,20,93.857,93,0.857,4247
113,2016,2,27,89.531,89,0.531,4171
114,2016,3,5,85.278,88,-2.722,4315
115,2016,3,12,98.423,97,1.423,4425
116,2016,3,19,90.04,92,-1.96,4356
117,2016,3,26,82.907,88,-5.093,4345
118,2016,4,2,74.627,84,-9.373,4329
