ds,y
2014-01-04,90
2014-01-11,78
2014-01-18,77
2014-01-25,88
2014-02-01,69
2014-02-08,72
2014-02-15,92
2014-02-22,84
2014-03-01,80
2014-03-08,81
2014-03-15,80
2014-03-22,109
2014-03-29,63
2014-04-05,80
2014-04-12,76
2014-04-19,77
2014-04-26,81
2014-05-03,97
2014-05-10,82
2014-05-17,99
2014-05-24,88
2014-05-31,96
2014-06-07,92
2014-06-14,99
2014-06-21,93
2014-06-28,81
2014-07-05,90
2014-07-12,85
2014-07-19,73
2014-07-26,76
2014-08-02,75
2014-08-09,91
2014-08-16,85
2014-08-23,97
2014-08-30,95
2014-09-06,79
2014-09-13,91
2014-09-20,81
2014-09-27,74
2014-10-04,81
2014-10-11,96
2014-10-18,56
2014-10-25,74
2014-11-01,91
2014-11-08,91
2014-11-15,98
2014-11-22,92
2014-11-29,78
2014-12-06,88
2014-12-13,79
2014-12-20,89
2014-12-27,81
2015-01-03,87
2015-01-10,98
2015-01-17,92
2015-01-24,88
2015-01-31,66
2015-02-07,80
2015-02-14,91
2015-02-21,83
2015-02-28,87
2015-03-07,98
2015-03-14,94
2015-03-21,66
2015-03-28,84
2015-04-04,92
2015-04-11,80
2015-04-18,84
2015-04-25,83
2015-05-02,77
2015-05-09,97
2015-05-16,77
2015-05-23,85
2015-05-30,86
2015-06-06,94
2015-06-13,108
2015-06-20,100
2015-06-27,98
2015-07-04,85
2015-07-11,100
2015-07-18,121
2015-07-25,96
2015-08-01,98
2015-08-08,107
2015-08-15,90
2015-08-22,104
2015-08-29,99
2015-09-05,85
2015-09-12,119
2015-09-19,101
2015-09-26,86
2015-10-03,88
2015-10-10,101
2015-10-17,95
2015-10-24,83
2015-10-31,69
2015-11-07,90
2015-11-14,109
2015-11-21,90
2015-11-28,76
2015-12-05,108
2015-12-12,98
2015-12-19,86
2015-12-26,92
2016-01-02,85
2016-01-09,93
2016-01-16,72
2016-01-23,84
2016-01-30,93
2016-02-06,80
2016-02-13,78
2016-02-20,93
2016-02-27,89
2016-03-05,88
2016-03-12,97
2016-03-19,92
2016-03-26,88
2016-04-02,84
2016-04-09,100
2016-04-16,89
2016-04-23,111
2016-04-30,77
2016-05-07,97
2016-05-14,117
2016-05-21,77
2016-05-28,92
2016-06-04,100
2016-06-11,100
2016-06-18,78
2016-06-25,95
2016-07-02,92
2016-07-09,83
2016-07-16,83
2016-07-23,107
2016-07-30,119
2016-08-06,104
2016-08-13,84
2016-08-20,89
2016-08-27,92
2016-09-03,96
2016-09-10,91
2016-09-17,108
2016-09-24,98
2016-10-01,92
2016-10-08,108
2016-10-15,84
2016-10-22,79
2016-10-29,88
2016-11-05,74
2016-11-12,79
2016-11-19,93
2016-11-26,81
2016-12-03,90
2016-12-10,85
2016-12-17,83
2016-12-24,92
2016-12-31,99
2017-01-07,105
2017-01-14,108
2017-01-21,117
2017-01-28,110
2017-02-04,92
2017-02-11,90
2017-02-18,80
2017-02-25,98
2017-03-04,101
2017-03-11,86
2017-03-18,103
2017-03-25,104
2017-04-01,100
2017-04-08,107
2017-04-15,85
2017-04-22,103
2017-04-29,80
2017-05-06,103
2017-05-13,84
2017-05-20,104
2017-05-27,104
2017-06-03,108
2017-06-10,95
2017-06-17,91
2017-06-24,85
2017-07-01,109
2017-07-08,122
2017-07-15,110
2017-07-22,112
2017-07-29,108
2017-08-05,118
2017-08-12,105
2017-08-19,103
2017-08-26,112
2017-09-02,108
2017-09-09,130
2017-09-16,87
2017-09-23,97
2017-09-30,118
2017-10-07,92
2017-10-14,103
2017-10-21,84
2017-10-28,94
2017-11-04,109
2017-11-11,106
2017-11-18,88
2017-11-25,89
2017-12-02,105
2017-12-09,107
2017-12-16,104
2017-12-23,104
2017-12-30,89
2018-01-06,113
2018-01-13,105
2018-01-20,91
2018-01-27,97
2018-02-03,86
2018-02-10,94
2018-02-17,99
2018-02-24,97
2018-03-03,107
2018-03-10,86
2018-03-17,111
2018-03-24,101
2018-03-31,77
2018-04-07,116
2018-04-14,87
2018-04-21,94
2018-04-28,80
2018-05-05,76
2018-05-12,92
2018-05-19,104
2018-05-26,87
2018-06-02,93
2018-06-09,120
2018-06-16,129
2018-06-23,92
2018-06-30,101
2018-07-07,115
2018-07-14,120
2018-07-21,108
2018-07-28,104
2018-08-04,113
2018-08-11,114
2018-08-18,111
2018-08-25,78
2018-09-01,87
2018-09-08,113
2018-09-15,100
2018-09-22,83
2018-09-29,74
2018-10-06,112
2018-10-13,112
2018-10-20,99
2018-10-27,90
2018-11-03,108
2018-11-10,85
2018-11-17,79
2018-11-24,100
2018-12-01,96
2018-12-08,107
2018-12-15,96
2018-12-22,101
